user_id,signup_timestamp,source,device_type,country
2557279,09-01-2024,organic,desktop,USA
3626548,13-01-2024,organic,tablet,Canada
1432800,09-01-2024,referral,mobile,India
2794053,02-02-2024,referral,mobile,India
3226439,13-02-2024,social,mobile,USA
2682163,04-02-2024,organic,mobile,India
1677404,01-01-2024,organic,mobile,USA
2485935,27-01-2024,ads,tablet,Germany
2021569,08-01-2024,organic,mobile,India
3234449,09-02-2024,organic,mobile,Germany
2971872,30-01-2024,organic,mobile,India
4493041,02-01-2024,ads,tablet,India
2023537,08-01-2024,ads,desktop,India
1477276,02-01-2024,social,desktop,India
3043252,17-01-2024,organic,mobile,USA
2363840,10-02-2024,organic,desktop,UK
2343498,10-01-2024,organic,mobile,USA
1762036,03-05-2024,organic,mobile,Germany
3912136,23-01-2024,ads,mobile,Germany
1186398,17-04-2024,organic,desktop,India
4758129,05-04-2024,organic,desktop,India
3190378,16-01-2024,referral,mobile,India
3533623,22-04-2024,organic,mobile,India
1629669,28-03-2024,organic,mobile,Germany
3271158,17-02-2024,organic,tablet,USA
4154766,29-03-2024,social,desktop,India
4333618,26-02-2024,organic,mobile,Canada
2919596,24-01-2024,ads,mobile,India
2041063,01-01-2024,organic,desktop,Germany
2256906,12-01-2024,organic,desktop,India
3219535,10-06-2024,email,tablet,India
2423144,16-01-2024,organic,desktop,India
1508153,12-01-2024,email,mobile,India
4407171,17-04-2024,referral,mobile,India
1373579,17-01-2024,ads,desktop,USA
2146235,13-02-2024,organic,mobile,UK
1001413,17-01-2024,ads,mobile,India
2512892,03-01-2024,referral,mobile,India
2782837,21-02-2024,ads,desktop,USA
2174638,04-01-2024,referral,tablet,India
1525905,07-05-2024,organic,mobile,USA
2214782,01-01-2024,ads,mobile,India
4115655,07-01-2024,organic,desktop,USA
1140046,22-03-2024,organic,tablet,India
1213280,10-01-2024,organic,desktop,UK
3748301,06-01-2024,referral,mobile,UK
3749977,02-01-2024,ads,mobile,India
3012160,18-03-2024,organic,desktop,India
2735035,03-01-2024,organic,mobile,USA
3481778,04-01-2024,referral,mobile,India
3468858,31-01-2024,organic,mobile,Germany
2756746,18-07-2024,organic,mobile,India
2004145,08-01-2024,ads,desktop,UK
4196073,27-02-2024,ads,desktop,India
3734600,09-01-2024,organic,mobile,India
3467721,28-03-2024,organic,desktop,India
3644708,30-01-2024,social,desktop,USA
4654531,22-02-2024,organic,mobile,Canada
1108859,04-02-2024,referral,mobile,Australia
4990635,29-01-2024,email,desktop,Germany
2077987,23-02-2024,organic,mobile,Australia
2616260,27-01-2024,organic,mobile,India
2062031,20-01-2024,organic,tablet,USA
2479403,24-04-2024,organic,desktop,USA
3749050,21-02-2024,organic,tablet,USA
3665204,06-06-2024,email,mobile,USA
3743521,28-04-2024,organic,mobile,India
3684520,15-02-2024,ads,desktop,India
1915347,11-01-2024,social,desktop,UK
2412551,22-01-2024,organic,tablet,UK
2406849,04-01-2024,social,mobile,India
1342867,01-01-2024,ads,desktop,India
4646251,26-01-2024,ads,mobile,Australia
1307073,09-02-2024,organic,mobile,USA
